parameter;Model;N;Xm;nr;ni;Value
back;par;1024;0.168;1.66;0.00200;0.2418403
back;par;1024;0.235;1.66;0.00200;0.2302968
back;par;1024;0.320;1.71;0.04500;0.2092168
back;par;1024;0.336;1.30;0.00100;0.2042832
back;par;1024;0.336;1.30;0.00220;0.204283
back;par;1024;0.336;1.30;0.00438;0.2042825
back;par;1024;0.336;1.30;0.02260;0.2042832
back;par;1024;0.336;1.30;0.09000;0.2043578
back;par;1024;0.336;1.66;0.00100;0.2041374
back;par;1024;0.336;1.66;0.00200;0.2041372
back;par;1024;0.336;1.66;0.00220;0.2041371
back;par;1024;0.336;1.66;0.00438;0.2041365
back;par;1024;0.336;1.68;0.00100;0.2041264
back;par;1024;0.336;1.68;0.00438;0.2041253
back;par;1024;0.336;1.71;0.02260;0.2041046
back;par;1024;0.336;1.71;0.04500;0.2041133
back;par;1024;0.336;1.71;0.09000;0.2041626
back;par;1024;0.336;2.00;0.00100;0.2036412
back;par;1024;0.336;2.00;0.00220;0.2036407
back;par;1024;0.336;2.00;0.00438;0.20364
back;par;1024;0.437;1.66;0.00200;0.1699486
back;par;1024;0.448;1.71;0.04500;0.1668104
back;par;1024;0.504;1.71;0.04500;0.1535703
back;par;1024;0.640;1.30;0.00100;0.1481303
back;par;1024;0.640;1.30;0.00438;0.1481127
back;par;1024;0.640;1.30;0.02260;0.1480339
back;par;1024;0.640;1.30;0.04500;0.1479706
back;par;1024;0.640;1.30;0.09000;0.1479565
back;par;1024;0.640;1.68;0.00100;0.1487872
back;par;1024;0.640;1.68;0.00438;0.1487659
back;par;1024;0.640;1.71;0.02260;0.1486392
back;par;1024;0.640;1.71;0.04500;0.1485409
back;par;1024;0.640;1.71;0.09000;0.1484443
back;par;1024;0.640;2.00;0.00438;0.1470935
back;par;1024;0.640;2.00;0.02260;0.146974
back;par;1024;0.640;2.00;0.04500;0.1468531
back;par;1024;0.640;2.00;0.09000;0.1467019
back;par;1024;0.832;1.71;0.04500;0.154203
back;par;128;0.168;1.66;0.00200;0.2042832
back;par;128;0.235;1.66;0.00200;0.3581122
back;par;128;0.320;1.71;0.04500;0.3037434
back;par;128;0.336;1.30;0.00100;0.2948171
back;par;128;0.336;1.30;0.00438;0.294816
back;par;128;0.336;1.66;0.00200;0.2938854
back;par;128;0.336;1.68;0.00100;0.2938243
back;par;128;0.336;1.68;0.00438;0.2938227
back;par;128;0.336;2.00;0.00100;0.2924152
back;par;128;0.336;2.00;0.00438;0.2924137
back;par;128;0.437;1.66;0.00200;0.2357834
back;par;128;0.448;1.71;0.04500;0.2304256
back;par;128;0.504;1.71;0.04500;0.209254
back;par;128;0.640;1.30;0.00100;0.197355
back;par;128;0.640;1.30;0.00438;0.1973324
back;par;128;0.640;1.68;0.00100;0.1964751
back;par;128;0.640;1.68;0.00438;0.1964481
back;par;128;0.640;2.00;0.00438;0.1930148
back;par;128;0.832;1.71;0.04500;0.196697
back;par;256;0.168;1.66;0.00200;0.3353243
back;par;256;0.235;1.66;0.00200;0.30066
back;par;256;0.320;1.71;0.04500;0.2627911
back;par;256;0.336;1.30;0.00100;0.2558143
back;par;256;0.336;1.30;0.00438;0.2558134
back;par;256;0.336;1.66;0.00200;0.2552268
back;par;256;0.336;1.68;0.00100;0.2551877
back;par;256;0.336;1.68;0.00438;0.2551863
back;par;256;0.336;2.00;0.00100;0.2541816
back;par;256;0.336;2.00;0.00438;0.2541801
back;par;256;0.437;1.66;0.00200;0.20773
back;par;256;0.448;1.71;0.04500;0.203387
back;par;256;0.504;1.71;0.04500;0.1857513
back;par;256;0.640;1.30;0.00100;0.1768649
back;par;256;0.640;1.30;0.00438;0.1768444
back;par;256;0.640;1.68;0.00100;0.1766493
back;par;256;0.640;1.68;0.00438;0.1766246
back;par;256;0.640;2.00;0.00438;0.1739518
back;par;256;0.832;1.71;0.04500;0.1794852
back;par;512;0.168;1.66;0.00200;0.280212
back;par;512;0.235;1.66;0.00200;0.2603895
back;par;512;0.320;1.71;0.04500;0.2326935
back;par;512;0.336;1.30;0.00100;0.2267779
