,N,xm,nr,ni,p1,p2,p3
0,10,0.6,1.96,0.088,3.2779711289592472,-0.06449911643318311,-0.185546697806619
1,10,0.4,1.96,0.098,3.020811070464382,-0.07625972367194431,-0.2831527537226903
2,10,0.6,2.01,0.004,10.007731083165645,-0.20312854305914843,-0.16063898974947655
3,10,0.5,1.98,0.062,1.0940475902352678,-0.03444567958311597,-0.044765734783714914
4,7,0.4,1.5,0.024,0.7936186891049155,-0.006792765116471311,-0.011091984965262678
5,10,0.4,1.3,0.007,2.8725201333424346,-0.07760954001186907,-0.10408148247484567
6,8,0.4,1.66,0.022,1.874023858939581,-0.031416076586411025,-0.0163423491632783
7,7,0.7,1.87,0.024,1.328494739849828,0.03585860061245915,0.01187526568900597
8,7,0.7,1.73,0.025,1.40596546297451,-0.027976543142822777,-0.022450535523977133
9,10,0.5,1.37,0.017,1.26942361816144,-0.011386108234509165,-0.09664227219358462
10,8,0.5,1.93,0.025,3.208462482254192,-0.0094689232542059,-0.042963351850464626
11,7,0.6,1.41,0.031,0.533565015245542,-0.002055684140906351,-0.025482113377228843
12,7,0.4,1.71,0.017,1.1256896518422552,0.014648834008651954,0.010191818914193736
13,9,0.5,2.03,0.086,8.459944893714782,-0.4042411117467216,-0.3966974879523193
14,7,0.5,1.93,0.017,-0.3955340365290223,0.010958046723621086,0.004923668995869997
15,8,0.5,2.07,0.035,1.4296903236023129,-0.2955951498045365,-0.03676606384394224
16,10,0.7,1.35,0.102,11.857106650086138,-2.70374753867835,-0.6172902165904544
17,10,0.5,1.39,0.094,12.452767338777008,-2.1704967803839468,-0.19333733780759976
18,10,0.4,1.95,0.034,5.797759341087536,-0.07190259678588079,-0.15020069642139877
19,10,0.6,2.02,0.096,8.021671544747798,-2.0294091370055645,-0.508389822579935
20,8,0.4,1.31,0.077,3.430197778984095,-0.05566713505562503,-0.06396836701624274
21,8,0.6,1.95,0.029,8.610253772147125,-0.05766157827677014,-0.1828242144570113
22,10,0.5,2.0,0.02,3.5623127011916216,-0.044989542043658556,-0.1345133013823257
23,9,0.5,1.89,0.017,3.0314118106904475,-0.023576110937424868,-0.06462474492275833
24,10,0.4,1.63,0.015,3.1531034391041683,-0.07577240417517031,-0.24564224672605153
25,9,0.5,1.97,0.016,5.7484302878253875,-0.25405604626421574,-0.4137175250248398
26,9,0.6,1.3,0.026,10.293925642980108,-0.15834686181159635,-0.18675022085125917
27,7,0.7,1.35,0.041,0.6264190783137706,-0.013032201437447127,0.0030009553219553856
28,10,0.7,1.38,0.095,20.346252983166604,-0.10488325069941906,-0.6701595339270026
29,7,0.4,1.83,0.017,1.0478007153940354,-0.0016850338508723958,-0.0317937015551499
30,9,0.4,1.99,0.023,2.340949627468707,-0.0702945156465915,-0.14132259657042412
31,9,0.6,2.04,0.095,9.20452078206551,-0.0168548611551082,-0.16188930094203322
32,10,0.5,1.74,0.02,7.644756575759059,-0.065433926638815,-0.0947357154310575
33,10,0.4,1.99,0.011,6.864826349050676,-0.06613850601682421,-0.11911556247744713
34,10,0.6,1.87,0.079,6.447702152124282,-0.09405250751759839,-0.19109713844976456
35,8,0.5,1.73,0.025,1.2320637489643884,0.009367719319323738,-0.017866946825372473
36,10,0.5,2.01,0.029,1.6424497597396364,-0.012140590236571255,-0.024212462115727723
37,7,0.5,1.96,0.026,1.5553679435327545,0.029755889377632162,-0.3272687591318524
38,10,0.5,1.92,0.041,9.883886979840959,-1.7399904298872333,-0.48143044515862754
39,10,0.5,1.32,0.025,4.331748184152913,-0.17927567665025015,-0.22417892625002311
40,8,0.6,1.84,0.074,9.461770932791422,-0.06579193891182601,-0.04456247609406542
41,7,0.6,1.37,0.018,2.392592312193764,0.024565829694099935,-0.01448895312666882
42,8,0.7,1.64,0.021,1.0095079714619555,-0.012758083284691333,-0.016488618555959064
43,9,0.6,1.66,0.069,4.895407598554005,-0.5602545425283791,-0.22358270473696268
44,9,0.4,1.41,0.023,3.782273225692336,-0.11253181141218443,-0.22401424720497046
45,9,0.5,1.97,0.031,4.8524760781999525,-0.315203293402555,-0.184832834769949
46,10,0.6,1.98,0.079,2.1141841120459404,-0.033651519908664385,-0.05001529647631142
47,9,0.4,1.96,0.007,1.9570325488360298,-0.051370810740132236,-0.04261491560453367
48,10,0.4,1.95,0.027,2.3251091463319673,-0.04507084081418182,-0.1852352300274494
49,10,0.5,1.83,0.018,2.995357949130761,-0.08771536442653854,-0.1588277565942494
50,10,0.4,1.86,0.014,6.900124691985859,-0.16975026346943448,-0.11108018593984419
