,N,xm,nr,ni,p1,p2,p3
0,7,0.64,1.71,0.045,1.6851099787192252,-0.0015774732043744,-0.009044230431717
1,10,0.336,1.3,0.023,2.2354631891384167,-0.0964441326893526,-0.1048013336447299
2,6,0.64,1.3,0.023,0.3397161498187506,-0.0001231821865324,-0.0024862232138497
3,7,0.48,1.3,0.023,0.6183080585982746,-0.0001893047944417,-0.0013087568908385
4,8,0.53,1.8,0.023,1.429309890929084,-0.0079677862809254,-0.013563709275541
5,8,0.96,1.68,0.023,8.327186075300396,-0.3405934345730143,-0.2042852872700543
6,8,0.336,1.68,0.045,0.5550904427175937,-0.0005998493939701,-0.0022539227350631
7,7,0.65,1.6,0.02,-1.0571814447660604,0.0152847911623664,0.0484186094615342
8,8,0.832,1.68,0.023,5.369441984411892,-0.1350532371161147,-0.1061866097679085
9,9,0.53,2.0,0.023,4.739164740145148,-0.2070661713334601,-0.2284544386674179
10,10,0.336,1.71,0.09,3.304230840442911,-0.1025914841447026,-0.1188049262444584
11,9,0.479,1.8,0.023,4.112836159879749,-0.1170542387778318,-0.1650403066221224
12,9,0.82,1.54,0.046,16.325931049300017,-2.28231529535878,-0.7550764689192201
13,8,0.504,1.71,0.045,1.5702607001359528,-0.00627917598839,-0.012585372003804
14,10,0.64,1.3,0.09,16.637300040342396,-2.87847177985168,-0.4837455893285507
15,8,0.64,2.3,0.09,3.652721120146475,-0.0415855370809911,-0.064294560524393
16,8,0.73,1.8,0.023,3.4446157369170285,-0.0624844110507611,-0.0631064209844613
17,9,0.832,1.3,0.023,11.962073176651831,-2.173318236955123,-0.6182075344959195
18,8,0.64,2.0,0.09,3.934955950047554,0.0041403512283016,-0.0249340060500509
19,8,0.64,1.3,0.09,3.7417009565103054,-0.0266182471107581,-0.0378502396003421
20,8,0.73,1.68,0.023,3.491223511552275,-0.0568565759752539,-0.0557952557295428
21,8,0.96,2.0,0.006,2.159769534814207,-0.4002703531157582,-0.2008889120187547
22,8,0.64,1.8,0.09,4.408151309288529,-0.0335903216532323,-0.0532885554425296
23,7,0.64,1.3,0.09,2.008271430535596,-0.0014353420066667,-0.009418676427386
24,10,0.43,2.0,0.023,4.236493889011678,-0.3836533483833326,-0.2260957000104377
25,8,0.43,1.8,0.023,0.8625561125873202,-0.0025056327740119,-0.0054047916903552
26,8,0.96,2.0,0.3,33.98653312121643,-0.8199919401528732,-0.7166849443008517
27,8,0.58,1.46,0.078,2.75698482435117,-0.0151083173165053,-0.0252368022964856
28,8,0.96,1.71,0.045,10.774677708917949,-0.1445014627279606,-0.2181678585836919
29,10,0.43,1.3,0.023,3.8088051857493017,-0.3593825500711147,-0.2029329021462945
30,8,0.64,1.68,0.09,4.399234834807904,-0.0301663548197295,-0.0490421790979388
31,7,0.43,1.98,0.09,0.3683845486422873,0.0014537560317274,0.0036091437394105
32,9,0.43,1.68,0.023,3.2017404978797206,-0.0625482826596168,-0.1126750462347062
33,8,0.58,1.45,0.023,1.4287163596667498,-0.0115548780282245,-0.0131288170585436
34,7,0.64,2.0,0.004,0.9419140764895128,-0.000435266140542,-0.0049989687137438
35,8,0.64,1.45,0.09,3.2587962701589697,-0.0263043248910559,-0.0356239048033152
36,6,0.48,1.68,0.023,0.3586692402739528,-0.0001212420961369,-0.0010400781894232
37,8,0.336,2.0,0.023,0.4629349027393724,-0.0003978161428647,-0.0020257217085504
38,8,0.336,1.8,0.023,0.4753791718707608,-0.0006682687104175,-0.0019599062833239
39,8,0.52,1.76,0.035,1.3420326822226722,0.0138026004731648,0.0207346395264557
40,6,0.448,1.71,0.045,0.3839478519355901,-0.000153794950063,-0.0008647869681412
41,8,0.64,1.71,0.045,3.03741590828678,-0.0283316620514169,-0.0366109523199483
42,9,0.64,1.71,0.023,8.007671039097104,-0.3037818443767652,-0.3221300284432125
43,10,0.336,1.3,0.09,3.3826073635315304,-0.102373960146777,-0.1187389688136498
44,9,0.84,1.82,0.064,20.77133081542736,-3.129930922028288,-0.9617385797008854
45,8,0.64,2.0,0.3,9.915112155065856,-0.0568596260167038,-0.1144693417048146
46,10,0.336,1.71,0.023,2.2719653175904653,-0.0969547115016552,-0.1063957489863443
47,10,0.53,1.3,0.023,5.589116779961808,-1.058658704532019,-0.2949489291317944
48,8,0.96,1.3,0.09,13.649552076970837,-0.3162952063191632,-0.2320449914527729
49,8,0.64,1.45,0.023,1.9786039112467584,-0.0207322572672395,-0.0212521134118453
50,9,0.53,1.68,0.023,4.707911566711161,-0.1993945654753448,-0.2188411132258568
51,9,0.336,2.0,0.09,2.418522932870383,-0.0167745517664071,-0.0528645474822632
52,8,0.64,1.8,0.045,3.0168944481938844,-0.0286389202029067,-0.039523518762669
53,9,0.64,1.3,0.045,7.427990807425422,-0.5517019816395928,-0.3732458079199292
54,6,0.336,1.68,0.023,0.1325917039266749,-2.943919131860129e-05,-0.0002359079491303
55,8,0.336,1.3,0.045,0.5553821493512086,-0.0005909357067947,-0.0023005749356552
56,10,0.64,2.0,0.09,16.122930312502127,-2.1936998354820085,-0.5378356403153185
57,9,0.64,1.3,0.09,10.388531306264218,-0.5554655501658936,-0.4175225121986425
58,9,0.73,1.45,0.023,8.935626055555078,-1.1128367548736748,-0.5022482261484679
