,N,xm,nr,ni,p1,p2,p3
0,10,0.5,1.94,0.021,4.893902877082629,-0.20804252695005138,-0.1456737797461981
1,10,0.7,1.67,0.003,2.046790351684162,-0.03952044533582644,-0.052624245865473845
2,9,0.5,2.0,0.024,4.964343336718659,-0.09900389540735272,-0.18491653644312267
3,9,0.7,1.32,0.079,6.55853896627237,-0.6118048410718774,-0.19011957713593716
4,9,0.4,2.06,0.062,1.7354489336971484,-0.016862619407768387,-0.031925140159716946
5,10,0.6,1.95,0.083,6.302935311803057,-0.2609336742199832,-0.20110446637603752
6,9,0.7,1.63,0.012,1.5599669676937318,-0.059441681699097124,-0.07754404491157602
7,9,0.4,1.95,0.077,5.544527502139496,-0.26172031611615637,-0.19074255377309945
8,10,0.5,1.92,0.091,8.22128602069144,-0.41908727636089205,-0.1826713515362362
9,10,0.5,2.05,0.025,8.813551867129277,-0.054517733175530686,-0.18844022687364234
10,10,0.5,1.99,0.034,6.5182765007767385,-0.1634054877624231,-0.41726707331242874
11,10,0.7,1.44,0.038,7.219741723264489,-2.396917927197468,-0.2806427975710158
12,10,0.6,1.7,0.03,10.77950846795498,-0.2367632475868519,-0.5632110808293982
13,9,0.7,1.89,0.092,8.08156798746635,-0.416679750282451,-0.246006455262
14,10,0.6,1.41,0.09,12.91060365551878,-2.260129898746319,-0.3787949430891357
15,9,0.7,1.72,0.018,6.483786307289504,-0.5427537430994998,-0.18423731586424924
16,10,0.6,1.93,0.077,9.381483835445634,-2.0127107298064635,-0.1672516825626023
17,10,0.5,1.33,0.088,8.2985429606805,-0.4503031873832683,-0.19346515514791818
18,10,0.7,1.42,0.007,2.0167297144625596,-1.9020882902973848,-0.2793499133938109
19,9,0.5,1.94,0.083,5.401224819450021,-0.2717275561111523,-0.21786699930659836
20,10,0.5,2.02,0.099,9.47269520738186,-1.7068881560706164,-0.2570660561306752
21,10,0.6,1.96,0.096,7.870690049284816,-2.151490353206268,-0.3818304913285928
22,10,0.7,1.39,0.021,5.757634290228775,-2.0257628654543356,-0.48548785959803575
23,9,0.6,1.92,0.033,6.666609160909745,-0.24973479514089145,-0.2118841995653867
24,10,0.7,1.49,0.011,1.632845533844152,-0.02566397303600161,-0.032333204999708695
25,9,0.6,1.33,0.016,6.761863129172478,-1.9815663570888284,-0.5418817519927436
26,9,0.7,1.63,0.009,1.9215934946897613,-1.2498737182460675,-0.01983363833597358
27,10,0.7,1.37,0.021,3.228814959340591,-0.04469139494662082,-0.09705401754502758
28,9,0.5,2.08,0.02,5.004736695262477,-0.4255637463448652,-0.25185250478856297
29,9,0.5,2.04,0.068,5.931528676684766,-0.22274547033985737,-0.16689868076457187
30,10,0.7,2.16,0.035,2.546090656340259,-2.162493682924152,-0.6357117940468586
31,9,0.7,1.76,0.029,12.273629122036281,-0.7209169012299812,-0.6361516685170647
32,9,0.6,1.69,0.029,6.51879915253789,-0.3869386254691666,-0.28990316798904253
33,9,0.5,2.0,0.094,7.696640151035979,-0.4258207075445105,-0.20335074073485102
34,9,0.6,2.1,0.026,4.4343432688424,-1.8132018315285667,-0.3242990736720078
35,9,0.6,1.7,0.021,4.038532754406105,-0.2504512683341336,-0.4153432476722823
36,10,0.5,1.35,0.088,6.239199472580911,-0.49586171416379543,-0.22001330125407093
37,9,0.6,1.3,0.092,5.779483888066662,-0.17631504844789192,-0.19539599264994362
38,10,0.6,1.42,0.097,13.55738022859296,-2.5149235311137303,-0.31313792651924266
39,10,0.4,1.3,0.021,1.4156462429955474,-0.029409703789228553,-0.1354930612075692
40,10,0.7,1.41,0.092,10.239088573069157,-3.172662139981416,-0.7314131308120466
41,10,0.4,1.45,0.014,1.5882549797693728,-0.048334794496544035,-0.12506998633344754
42,9,0.5,1.48,0.015,2.768526989236771,-0.07744410847847838,-0.46167641417558225
43,10,0.5,1.69,0.02,4.521376811267697,-0.44974725439452723,-0.19925124421163837
