N,xm,nr,ni
1024,0.3360,1.30,0.0010
1024,0.3360,1.30,0.0040
1024,0.3360,1.30,0.0230
1024,0.3360,1.30,0.0450
1024,0.3360,1.30,0.0900
1024,0.3360,1.66,0.0010
1024,0.3360,1.66,0.0020
1024,0.3360,1.66,0.0020
1024,0.3360,1.71,0.0230
1024,0.3360,1.71,0.0900
1024,0.3360,2.00,0.0040
1024,0.3360,2.00,0.0230
1024,0.3360,2.00,0.0450
1024,0.3360,2.00,0.0900
1024,0.4300,1.30,0.0230
1024,0.4300,1.30,0.0900
1024,0.4300,2.00,0.0230
1024,0.4300,2.00,0.0900
1024,0.5300,1.30,0.0230
1024,0.5300,1.30,0.0900
1024,0.5300,2.00,0.0230
1024,0.5300,2.00,0.0900
1024,0.6400,1.30,0.0230
1024,0.6400,1.30,0.0450
1024,0.6400,1.30,0.0900
1024,0.6400,1.71,0.0230
1024,0.6400,1.71,0.0450
1024,0.6400,1.71,0.0900
1024,0.6400,2.00,0.0230
1024,0.6400,2.00,0.0450
1024,0.6400,2.00,0.0900
128,0.4000,1.50,0.4030
128,0.4000,1.64,0.0750
128,0.4000,1.86,0.0650
128,0.4300,1.30,0.0230
128,0.4300,1.45,0.0230
128,0.4300,1.98,0.0900
128,0.4300,2.00,0.0230
128,0.4400,1.46,0.0900
128,0.4400,1.66,0.0860
128,0.4700,1.60,0.0550
128,0.4800,1.30,0.0230
128,0.4800,1.45,0.0230
128,0.4800,1.86,0.0550
128,0.4800,2.00,0.0230
128,0.5000,1.50,0.0280
128,0.5000,1.58,0.0140
128,0.5000,1.64,0.0450
128,0.5400,1.54,0.0470
128,0.5400,1.54,0.0550
128,0.5400,1.56,0.0110
128,0.5600,1.74,0.0780
128,0.5800,1.30,0.0230
128,0.5800,1.45,0.0230
128,0.5800,2.00,0.0230
128,0.6000,1.68,0.0200
128,0.6000,1.84,0.0500
128,0.6400,1.30,0.0010
128,0.6400,1.30,0.0230
128,0.6400,1.30,0.0900
128,0.6400,1.68,0.0010
128,0.6400,1.68,0.0040
128,0.6400,1.71,0.0450
128,0.6400,2.00,0.0010
128,0.6400,2.00,0.0040
128,0.6400,2.00,0.0230
128,0.6400,2.00,0.0900
128,0.6500,1.60,0.0200
128,0.7300,1.30,0.0230
128,0.7300,1.45,0.0230
128,0.7300,2.00,0.0230
128,0.7400,1.82,0.0140
128,0.8000,1.58,0.0900
128,0.8200,1.91,1.1380
128,0.8200,1.97,1.8220
256,0.3360,1.30,0.0040
256,0.3360,1.30,0.0230
256,0.3360,1.30,0.0450
256,0.3360,1.30,0.0900
256,0.3360,1.30,0.3000
256,0.3360,1.45,0.0040
256,0.3360,1.45,0.0230
256,0.3360,1.45,0.0450
256,0.3360,1.45,0.0900
256,0.3360,1.45,0.3000
256,0.3360,1.66,0.0020
256,0.3360,1.68,0.0040
256,0.3360,1.68,0.0230
256,0.3360,1.68,0.0450
